x,result
-3.0,3.786440699550455E15
-2.0,4959168.015550087
-1.0,15981.069664970017
-0.5,554924.2759852979
-0.25,1.8630474966923892E11
0.25,-0.6700702170916556
0.5,-0.08375877713645695
1.0,NaN
2.0,0.08375877713645695
3.0,0.3334934454788396
10.0,3.0704427988450673
